year,cip2_name,AI_RS
2010,"Foreign Languages, Literatures, and Linguistics",14.82657157
2010,Engineering,1.1506762
2010,Multi/Interdisciplinary Studies,1.136439476
2010,Computer and Information Sciences and Support Services,2.381267307
2010,Mathematics and Statistics,9.316250182
2010,Social Sciences,2.259894973
2010,Physical Sciences,1.770327799
2010,Biological and Biomedical Sciences,1.901258614
2010,Library Science,1.248290314
2011,Computer and Information Sciences and Support Services,2.11186949
2011,Engineering,0.914868914
2011,Mathematics and Statistics,6.948619372
2011,Social Sciences,1.961439014
2011,Physical Sciences,1.361382818
2011,Multi/Interdisciplinary Studies,0.90396453
2011,Biological and Biomedical Sciences,1.299585589
2011,Library Science,1.074520756
2011,"Foreign Languages, Literatures, and Linguistics",12.47683517
2012,Engineering,1.039760468
2012,Computer and Information Sciences and Support Services,2.401406784
2012,Physical Sciences,1.398136565
2012,Mathematics and Statistics,7.370520207
2012,Multi/Interdisciplinary Studies,1.403694519
2012,Biological and Biomedical Sciences,1.65097843
2012,Social Sciences,1.798953378
2012,"Foreign Languages, Literatures, and Linguistics",12.44962725
2012,Library Science,0.783406984
2013,Engineering,1.158639616
2013,Computer and Information Sciences and Support Services,4.337120803
2013,Social Sciences,1.71926238
2013,Biological and Biomedical Sciences,1.492208227
2013,Mathematics and Statistics,7.933805464
2013,Physical Sciences,1.412001506
2013,Library Science,0.739551709
2013,Multi/Interdisciplinary Studies,1.624933829
2013,"Foreign Languages, Literatures, and Linguistics",9.567508021
2014,Engineering,1.322212329
2014,Computer and Information Sciences and Support Services,3.596306787
2014,Mathematics and Statistics,9.927534832
2014,Physical Sciences,1.618563731
2014,Biological and Biomedical Sciences,1.696591792
2014,Social Sciences,2.561203974
2014,Multi/Interdisciplinary Studies,2.657985165
2014,"Foreign Languages, Literatures, and Linguistics",9.200705392
2014,Library Science,0.978378627
2015,Computer and Information Sciences and Support Services,3.705931205
2015,Engineering,1.305559365
2015,Physical Sciences,1.733220043
2015,Social Sciences,2.456089346
2015,Mathematics and Statistics,9.381346092
2015,Biological and Biomedical Sciences,1.542418967
2015,Multi/Interdisciplinary Studies,3.275019829
2015,Library Science,0.951506373
2015,"Foreign Languages, Literatures, and Linguistics",8.620295643
2016,Computer and Information Sciences and Support Services,3.762094742
2016,Social Sciences,2.424484086
2016,Engineering,1.426982615
2016,Physical Sciences,1.615776484
2016,Mathematics and Statistics,9.027281751
2016,Multi/Interdisciplinary Studies,3.775775477
2016,Biological and Biomedical Sciences,1.355501556
2016,"Foreign Languages, Literatures, and Linguistics",6.495776708
2016,Library Science,1.105443975
2017,Multi/Interdisciplinary Studies,4.48528404
2017,Engineering,1.607384923
2017,Computer and Information Sciences and Support Services,3.850134398
2017,Social Sciences,2.435667853
2017,Physical Sciences,1.683639029
2017,Mathematics and Statistics,7.934078982
2017,Biological and Biomedical Sciences,1.20316999
2017,Library Science,1.13460553
2017,"Foreign Languages, Literatures, and Linguistics",10.64224354
2018,Mathematics and Statistics,7.41365156
2018,Computer and Information Sciences and Support Services,3.850098986
2018,Engineering,1.563753013
2018,Physical Sciences,1.550309285
2018,Biological and Biomedical Sciences,1.087997495
2018,Social Sciences,1.992364254
2018,Multi/Interdisciplinary Studies,5.165442642
2018,"Foreign Languages, Literatures, and Linguistics",5.478117779
2018,Library Science,1.137228564
2019,Engineering,1.672818938
2019,Library Science,1.330745024
2019,Computer and Information Sciences and Support Services,3.90170616
2019,Physical Sciences,1.636946342
2019,Social Sciences,1.94697632
2019,Mathematics and Statistics,6.894437311
2019,Multi/Interdisciplinary Studies,6.089897313
2019,Biological and Biomedical Sciences,1.155570069
2019,"Foreign Languages, Literatures, and Linguistics",3.727196769
2020,Computer and Information Sciences and Support Services,4.25985212
2020,Engineering,1.907047246
2020,Biological and Biomedical Sciences,1.162231883
2020,Mathematics and Statistics,6.208984708
2020,Physical Sciences,1.840502129
2020,Social Sciences,1.949751458
2020,Multi/Interdisciplinary Studies,6.258959031
2020,"Foreign Languages, Literatures, and Linguistics",1.259498033
2020,Library Science,1.462952215
2021,Social Sciences,2.379171863
2021,Computer and Information Sciences and Support Services,4.354116893
2021,Engineering,1.960309728
2021,Mathematics and Statistics,6.225533414
2021,Biological and Biomedical Sciences,1.148558945
2021,Physical Sciences,1.816407042
2021,Multi/Interdisciplinary Studies,6.628577746
2021,Library Science,2.429935145
2021,"Foreign Languages, Literatures, and Linguistics",4.47593136
2022,Engineering,1.859714513
2022,Computer and Information Sciences and Support Services,3.827989195
2022,Mathematics and Statistics,7.236344565
2022,Biological and Biomedical Sciences,1.186565059
2022,Physical Sciences,1.626879884
2022,Multi/Interdisciplinary Studies,6.426279741
2022,Social Sciences,1.996641289
2022,Library Science,2.143171019
2022,"Foreign Languages, Literatures, and Linguistics",2.843457336
2023,Engineering,2.047207073
2023,Biological and Biomedical Sciences,1.530096011
2023,Social Sciences,1.837980452
2023,Computer and Information Sciences and Support Services,4.467780524
2023,Multi/Interdisciplinary Studies,6.539077665
2023,Physical Sciences,1.900950576
2023,Mathematics and Statistics,7.479094696
2023,"Foreign Languages, Literatures, and Linguistics",2.849178166
2023,Library Science,1.975198132
