"","common_count","x","y","all_count","common"
"1",309788,"Mathematics and Statistics","Business, Management, Marketing, and Related Support Services",1112434,0.278477645
"2",277959,"Computer and Information Sciences and Support Services","Business, Management, Marketing, and Related Support Services",1480949,0.187689785
"3",214791,"Engineering","Engineering/Engineering-related Technologies/Technicians",942616,0.227866915
"4",184505,"Engineering","Business, Management, Marketing, and Related Support Services",1299296,0.142003824
"5",124977,"Social Sciences","Business, Management, Marketing, and Related Support Services",600780,0.208024568
"6",103927,"Computer and Information Sciences and Support Services","Engineering/Engineering-related Technologies/Technicians",1328587,0.078223707
"7",94814,"Multi/Interdisciplinary Studies","Business, Management, Marketing, and Related Support Services",588845,0.161016906
"8",40950,"Biological and Biomedical Sciences","Health Professions and Related Programs",239899,0.170696835
"9",40594,"Mathematics and Statistics","Engineering/Engineering-related Technologies/Technicians",1055234,0.038469193
"10",38827,"Mathematics and Statistics","Health Professions and Related Programs",1001974,0.038750507
"11",35906,"Computer and Information Sciences and Support Services","Health Professions and Related Programs",1341581,0.026763945
"12",19475,"Social Sciences","Health Professions and Related Programs",324861,0.059948717
"13",18676,"Physical Sciences","Engineering/Engineering-related Technologies/Technicians",252915,0.073842991
"14",18298,"Biological and Biomedical Sciences","Business, Management, Marketing, and Related Support Services",643972,0.028414279
"15",17133,"Computer and Information Sciences and Support Services","Communication, Journalism, and Related Programs",1303696,0.013141867
"16",14408,"Engineering","Health Professions and Related Programs",1087972,0.013242988
"17",12845,"Engineering","Communication, Journalism, and Related Programs",1032877,0.012436137
"18",12513,"Mathematics and Statistics","Psychology",963489,0.012987175
"19",12057,"Computer and Information Sciences and Support Services","Psychology",1300631,0.009270116
"20",11736,"Physical Sciences","Business, Management, Marketing, and Related Support Services",586249,0.020018797
