cip6_name,lightcast_ai_score,revelio_ai_score
Mathematical Biology,38.00022946,5.071617877
Computational Mathematics,34.55676361,10.35874543
"Data Science, General",34.25856742,0.179073519
Computational Science,27.07467247,14.3359877
Econometrics and Quantitative Economics,26.42735352,2.095555545
"Applied Mathematics, General",24.57689513,5.127822026
Computer Game Programming,24.44468215,0.137307374
Operations Research,18.77454288,8.882817547
Bioinformatics,17.9735267,10.84885215
Mathematical Economics,12.62978565,0.96032809
Data Visualization,10.82560538,0.966138925
Linguistics,10.06732264,3.901723602
Economics and Computer Science,10.02731252,4.036793644
Biostatistics,7.940733998,6.605212512
Cognitive Psychology and Psycholinguistics,7.219629366,4.975398842
Computer Hardware Engineering,6.787122254,0.538752842
"Physics, General",6.094342744,4.002575547
Psychometrics and Quantitative Psychology,5.907977189,4.608572966
Computer Software Engineering,5.854335931,2.360540693
Cloud Computing,5.803597956,0.428053218
Logic,5.390062481,11.55743689
Biophysics,5.313360848,4.552230632
Astrophysics,5.147750182,6.542317218
Nuclear Physics,4.775013025,3.135881128
Climate Science,4.72707214,4.280532182
Financial Mathematics,4.58614625,2.629562058
Computer Science,4.498938668,3.386222369
Electrical and Computer Engineering,4.386291718,6.64320579
Informatics,4.315187242,2.207260675
National Security Policy Studies,4.036584891,0.301324355
Medicinal and Pharmaceutical Chemistry,3.79162872,0.110630566
Evolutionary Biology,3.782525324,3.198284423
Computer Graphics,3.615745049,1.107741555
Medical Informatics,3.605934673,5.197298026
Neuroscience,3.50668847,1.499866222
Engineering Physics/Applied Physics,3.077255214,6.127919756
Optics/Optical Sciences,2.955143307,6.460514552
Architectural Design,2.886264099,0.062801491
Epidemiology,2.874785236,0.627418857
Geophysics and Seismology,2.843131116,1.984702808
Actuarial Science,2.806201511,0.506990215
Astronomy,2.80339922,7.220195869
Creative Writing,2.715154077,0.139751585
Laser and Optical Engineering,2.602157839,2.528518554
Marine Biology and Biological Oceanography,2.579115945,0.122706696
Information Science/Studies,2.521150013,3.007947886
Technical and Scientific Communication,2.416492153,0.246827921
Experimental Psychology,2.399811666,1.651717857
Physics and Astronomy,2.395853271,4.219830259
Bioengineering and Biomedical Engineering,2.373981343,1.655977543
Applied Economics,2.314647473,1.532498222
Business Analytics,2.266087716,3.269952146
Meteorology,2.081332157,0.431106892
Industrial Engineering,2.066678088,0.898809789
Electrical and Electronics Engineering,2.018497672,0.90250721
"Engineering, General",1.695720432,0.799430401
Library and Information Science,1.563650941,6.470874971
"Physical Sciences, Other",1.54146339,0.331034527
Materials Chemistry,1.485707956,0.13133451
Biological/Biosystems Engineering,1.480939384,1.191104607
Financial Risk Management,1.453551473,0.153979397
"Biological and Biomedical Sciences, Other",1.389556517,0.28649421
Epidemiology and Biostatistics,1.337360057,1.514649849
"Management Information Systems, General",1.268030134,0.761821912
Systems Engineering,1.221013419,1.250169241
Information Technology,1.189806429,0.461821717
Geography,1.143254095,0.33585294
Industrial and Organizational Psychology,1.093648686,0.255283683
Geographic Information Science and Cartography,1.078200751,0.548178825
Biomechanics,1.015215769,1.167602149
Science/Technology Management,0.967916428,0.627455749
Engineering Acoustics,0.93416987,1.795330003
Materials Science,0.924143145,1.409893473
Applied Linguistics,0.919627437,0.594170265
Philosophy,0.91229905,0.434659823
"Social Sciences, General",0.870354777,2.069988697
International Marketing,0.840629267,0.194140672
"Political Science and Government, General",0.82819668,0.076111691
Immunology,0.775540691,0.176988542
Ecology,0.764048045,0.834677428
