naics,lightcast,revelio
11,0.035573123,0
21,0.035573123,0.052631579
22,0.027667984,0.026315789
23,0.04743083,0
26,0.019762846,0
31,0.035573123,0.026315789
32,0.031620553,0.065789474
33,0.035573123,0.131578947
42,0.035573123,0.026315789
44,0.04743083,0.052631579
45,0.039525692,0.092105263
48,0.031620553,0.052631579
49,0.035573123,0.013157895
51,0.043478261,0.105263158
52,0.039525692,0.105263158
53,0.043478261,0.013157895
54,0.043478261,0.092105263
55,0.043478261,0
56,0.031620553,0.052631579
61,0.039525692,0.052631579
62,0.059288538,0.013157895
71,0.039525692,0
72,0.043478261,0.026315789
81,0.039525692,0
91,0.035573123,0
92,0.039525692,0
