onet,lightcast,revelio
11,0.050894085,0.079710145
13,0.049518569,0.086956522
15,0.053645117,0.086956522
17,0.049518569,0.072463768
19,0.045392022,0.065217391
21,0.041265475,0.007246377
23,0.03301238,0.014492754
25,0.052269601,0.050724638
27,0.046767538,0.072463768
29,0.048143054,0.050724638
31,0.044016506,0
33,0.04264099,0.02173913
35,0.041265475,0.050724638
37,0.039889959,0
39,0.04264099,0.028985507
41,0.046767538,0.079710145
43,0.049518569,0.094202899
45,0.035763411,0.007246377
47,0.035763411,0.014492754
49,0.04264099,0.036231884
51,0.044016506,0.043478261
53,0.041265475,0.036231884
55,0.023383769,0
