CIP6_name,AI_RS,CIP6_code,CIP2_code,CIP2_name
Cheminformatics/Chemistry Informatics,41.83973818,40.0512,40,Physical Sciences
Mathematical Biology,38.00022946,27.0306,27,Mathematics and Statistics
Computational Mathematics,34.55676361,27.0303,27,Mathematics and Statistics
"Data Science, General",34.25856742,30.7001,30,Multi/Interdisciplinary Studies
"Applied Statistics, General",28.91548698,27.0601,27,Mathematics and Statistics
Computational Science,27.07467247,30.3001,30,Multi/Interdisciplinary Studies
Econometrics and Quantitative Economics,26.42735352,45.0603,45,Social Sciences
"Applied Mathematics, General",24.57689513,27.0301,27,Mathematics and Statistics
Operations Research,18.77454288,14.3701,14,Engineering
Bioinformatics,17.9735267,26.1103,26,Biological and Biomedical Sciences
Mathematical Economics,12.62978565,30.4901,30,Multi/Interdisciplinary Studies
"Statistics, General",11.89642541,27.0501,27,Mathematics and Statistics
Data Visualization,10.82560538,30.7103,30,Multi/Interdisciplinary Studies
Linguistics,10.06732264,16.0102,16,"Foreign Languages, Literatures, and Linguistics"
"Data Analytics, General",9.796036718,30.7101,30,Multi/Interdisciplinary Studies
Biostatistics,7.940733998,26.1102,26,Biological and Biomedical Sciences
Computer Hardware Engineering,6.787122254,14.0902,14,Engineering
"Physics, General",6.094342744,40.0801,40,Physical Sciences
Computer Software Engineering,5.854335931,14.0903,14,Engineering
Cloud Computing,5.803597956,11.0902,11,Computer and Information Sciences and Support Services
Biophysics,5.313360848,26.0203,26,Biological and Biomedical Sciences
Astrophysics,5.147750182,40.0202,40,Physical Sciences
"Computer Engineering, General",4.738362391,14.0901,14,Engineering
Climate Science,4.72707214,30.3501,30,Multi/Interdisciplinary Studies
Financial Mathematics,4.58614625,27.0305,27,Mathematics and Statistics
Computer Science,4.498938668,11.0701,11,Computer and Information Sciences and Support Services
Electrical and Computer Engineering,4.386291718,14.4701,14,Engineering
Informatics,4.315187242,11.0104,11,Computer and Information Sciences and Support Services
"Mathematics, General",4.310273686,27.0101,27,Mathematics and Statistics
National Security Policy Studies,4.036584891,45.0902,45,Social Sciences
Evolutionary Biology,3.782525324,26.1303,26,Biological and Biomedical Sciences
Geospatial Intelligence,3.709470786,14.0401,14,Engineering
Neuroscience,3.50668847,26.1501,26,Biological and Biomedical Sciences
"Genetics, General",3.453739973,26.0801,26,Biological and Biomedical Sciences
Optics/Optical Sciences,2.955143307,40.0807,40,Physical Sciences
Epidemiology,2.874785236,26.1309,26,Biological and Biomedical Sciences
Planetary Astronomy and Science,2.849748683,40.0203,40,Physical Sciences
Geophysics and Seismology,2.843131116,40.0603,40,Physical Sciences
Astronomy,2.80339922,40.0201,40,Physical Sciences
"Economics, General",2.620569073,45.0601,45,Social Sciences
Laser and Optical Engineering,2.602157839,14.1003,14,Engineering
Marine Biology and Biological Oceanography,2.579115945,26.1302,26,Biological and Biomedical Sciences
"Mechatronics, Robotics, and Automation Engineering",2.524639227,14.4201,14,Engineering
Information Science/Studies,2.521150013,11.0401,11,Computer and Information Sciences and Support Services
Bioengineering and Biomedical Engineering,2.373981343,14.0501,14,Engineering
Applied Economics,2.314647473,45.0602,45,Social Sciences
Business Analytics,2.266087716,30.7102,30,Multi/Interdisciplinary Studies
"Computer Programming, Specific Platforms",2.086671535,11.0205,11,Computer and Information Sciences and Support Services
Meteorology,2.081332157,40.0404,40,Physical Sciences
Industrial Engineering,2.066678088,14.3501,14,Engineering
"Engineering, General",1.695720432,14.0101,14,Engineering
Library and Information Science,1.563650941,25.0101,25,Library Science
"Physical Sciences, Other",1.54146339,40.9999,40,Physical Sciences
"Biological and Biomedical Sciences, Other",1.389556517,26.9999,26,Biological and Biomedical Sciences
Systems Engineering,1.221013419,14.2701,14,Engineering
Information Technology,1.189806429,11.0103,11,Computer and Information Sciences and Support Services
Geography,1.143254095,45.0701,45,Social Sciences
Geographic Information Science and Cartography,1.078200751,45.0702,45,Social Sciences
Latin Language and Literature,1.06058595,16.1203,16,"Foreign Languages, Literatures, and Linguistics"
