common_count,discipline complementarity score
4761,0.983677686
2437,0.924156238
479,0.914122137
621,0.879603399
509,0.87008547
1996,0.832013339
12155,0.815224681
258,0.803738318
181,0.76371308
23,0.58974359
95,0.482233503
825,0.475230415
3025,0.438088342
119,0.432727273
15622,0.429577077
153,0.412398922
95,0.404255319
216242,0.349453217
437773,0.325409444
18209,0.259720439
124204,0.250453201
14774,0.249346003
39,0.239263804
865,0.230974633
66,0.215686275
56,0.208955224
266268,0.206586582
34,0.204819277
409,0.199902248
268599,0.197675283
5,0.192307692
42084,0.1886236
533,0.185520362
116821,0.185026038
42594,0.182315476
113124,0.181721798
4395,0.174702866
146754,0.17388471
86,0.173387097
8097,0.173335046
887,0.172333398
509,0.170234114
79032,0.168561325
39,0.165957447
12,0.164383562
603,0.16310522
987,0.160801564
86,0.159554731
86,0.158671587
555,0.156558533
60701,0.150530195
125,0.144843569
113,0.1446863
83,0.141396934
56503,0.137815556
2101,0.136579341
83,0.1328
83,0.131746032
419,0.13138915
83,0.131121643
6,0.127659574
10479,0.126298662
762,0.125
83,0.124251497
83,0.123695976
71339,0.121843494
324,0.121667293
41,0.120588235
63127,0.120428856
489,0.12020649
13,0.117117117
38252,0.115413279
14359,0.113180629
239,0.11095636
21219,0.109982895
72,0.107302534
49,0.1069869
65465,0.10685372
102148,0.106314906
246,0.105263158
5492,0.10505978
297,0.103773585
3553,0.103206879
613,0.101759628
3485,0.101252215
3203,0.10015948
119439,0.100100403
681,0.098738582
5130,0.098417266
467,0.098026868
445,0.097523559
661,0.096609179
158,0.096518021
297,0.094136292
50112,0.093755437
86,0.093478261
43982,0.093359626
45338,0.092368562
18404,0.091885847
787,0.091447827
12871,0.091337454
41,0.090909091
81,0.090807175
18019,0.090229442
86,0.089304258
6576,0.088563271
2003,0.086996178
4100,0.086893862
165,0.086387435
41,0.085953878
39918,0.085674365
17459,0.085515424
10,0.084033613
4767,0.083260558
842,0.082743711
834,0.082500742
1335,0.08247359
1809,0.08198876
136,0.081242533
2923,0.08030661
1127,0.080162174
8998,0.079647349
56,0.079432624
6634,0.078224675
36589,0.07813471
31,0.078085642
1075,0.077842143
18,0.077253219
98523,0.077065559
92762,0.076833749
153,0.076119403
4035,0.076013036
42,0.07540395
291,0.075096774
93183,0.074722386
1847,0.074349891
47731,0.073810102
859,0.072932586
20391,0.072884349
39,0.072356215
6104,0.072341989
10345,0.071742628
86310,0.070681014
701,0.070501861
228,0.070240296
10,0.068965517
420,0.068038231
51729,0.067993707
7,0.067961165
241,0.067906453
4527,0.067683337
45,0.067164179
267,0.066950853
5860,0.066615133
13118,0.066157632
62,0.066098081
15282,0.065378939
10,0.065359477
3732,0.064762434
106,0.064673581
20436,0.064580555
11,0.064327485
371,0.063932449
164,0.063738826
23,0.063711911
957,0.06365148
232,0.063579063
10,0.063291139
130,0.062984496
5808,0.06276951
671,0.062581608
11,0.0625
389,0.06213065
7818,0.062068308
29,0.061440678
31,0.061386139
3,0.06122449
73,0.060580913
130,0.060549604
285,0.059861374
14064,0.059391892
27928,0.058998247
157,0.058956065
9304,0.058766312
228,0.058611825
111,0.058606125
107,0.058565955
9,0.058441558
166,0.05843013
3314,0.058252769
5493,0.05820089
23575,0.057631005
213,0.057520929
7,0.057377049
4120,0.057349666
930,0.057340157
12975,0.057276676
392,0.056993312
1819,0.056893532
2492,0.056764083
12,0.056603774
422,0.056530476
2042,0.056525952
5505,0.056207882
26,0.055201699
3640,0.055149008
6981,0.054637239
279,0.054237947
10660,0.054105084
283,0.053935582
24,0.053691275
501,0.053508491
49,0.053318825
24840,0.053183062
140,0.053090633
27151,0.053073974
21850,0.053063861
818,0.053034232
492,0.052920297
1850,0.052495673
34,0.051750381
38122,0.051678024
1658,0.051641438
10592,0.051510996
7,0.051470588
105,0.05124451
1736,0.051244207
20902,0.051209181
1334,0.051025092
60074,0.050791198
145,0.050452331
51,0.050345508
2,0.05
35374,0.049989966
1918,0.049985666
13,0.049808429
886,0.049577528
309,0.049550994
82,0.049487025
694,0.049444286
19,0.049350649
304,0.049302627
1188,0.049007879
12692,0.048891731
111,0.048877147
83,0.048737522
892,0.048689956
200,0.04853191
115,0.048380311
143,0.048343475
57913,0.048223661
10384,0.047888727
12,0.047244094
2699,0.047088996
2660,0.046437737
18,0.046272494
2377,0.046248735
19,0.046004843
165,0.045884316
7,0.045751634
30,0.045731707
106,0.045729077
408,0.045658013
2302,0.045643812
81,0.045403587
100,0.045351474
79,0.045194508
595,0.045178436
727,0.045051744
22691,0.045024952
215,0.044679967
5154,0.044611789
86,0.044605809
20,0.04454343
53496,0.044476296
1006,0.044358217
997,0.044089683
224,0.043930182
257,0.043841692
19,0.043778802
31,0.043175487
19,0.0430839
10502,0.042881233
23,0.042671614
1885,0.042639341
1943,0.042550862
578,0.042425132
4,0.042105263
127,0.042094796
19,0.042035398
9195,0.042034478
30,0.041958042
575,0.041903513
9,0.041860465
183,0.041790363
3880,0.041648776
96,0.04150454
328,0.04139846
251,0.041344095
666,0.041154298
83,0.040806293
1401,0.040632251
107,0.040591806
2656,0.040565721
318,0.040468313
110,0.040131339
4,0.04
83,0.039961483
62,0.039769083
135,0.039740948
201,0.039684107
24297,0.039620316
6261,0.039551235
225,0.039425267
228,0.039007699
25,0.03900156
2682,0.038849859
4703,0.038786669
72,0.038772213
1153,0.038625172
3,0.038461538
1361,0.038444156
90,0.038412292
79,0.038330907
12,0.038216561
93,0.038161674
179,0.038150043
107,0.038024165
116,0.038020321
16,0.038004751
9210,0.038001164
305,0.03796838
18570,0.037963427
108,0.037921348
45295,0.03783209
356,0.03770787
587,0.037553579
43,0.037456446
1594,0.037285678
124,0.037192561
349,0.037183039
212,0.0371669
199,0.037057728
131,0.036974316
6612,0.036881885
73,0.036794355
583,0.036780014
31,0.036773428
