common_count,x,y,all_count
4761,Cell/Cellular and Molecular Biology,Molecular Biology,4840
2437,Astronomy,Planetary Astronomy and Science,2637
479,"Criminal Justice and Corrections, General",Criminal Justice/Police Science,524
621,Environmental/Environmental Engineering Technology/Technician,Environmental/Environmental Health Engineering,706
509,Audiology/Audiologist and Speech-Language Pathology/Pathologist,Speech-Language Pathology/Pathologist,585
1996,Agronomy and Crop Science,"Soil Science and Agronomy, General",2399
12155,Information Science/Studies,Library and Information Science,14910
258,"Construction Management, General",Construction Project Management,321
181,Religion/Religious Studies,Theology/Theological Studies,237
23,Nuclear Medical Technology/Technologist,Nuclear Medicine Residency Program,39
95,Divinity/Ministry,Theology/Theological Studies,197
825,Financial Mathematics,Mathematical Economics,1736
3025,"International Business, Trade, and Tax Law",Law,6905
119,Clinical Laboratory Science/Medical Technology/Technologist,Clinical/Medical Laboratory Technician,275
15622,"Biology/Biological Sciences, General",Mathematical Biology,36366
153,Dietetic Technician,Dietetics/Dietitian,371
95,Divinity/Ministry,Religion/Religious Studies,235
216242,"Mathematics, General","Statistics, General",618801
437773,Computer Science,"Engineering, General",1345299
18209,Bioinformatics,"Biology/Biological Sciences, General",70110
124204,"Economics, General","Statistics, General",495917
14774,Bioinformatics,Mathematical Biology,59251
39,African Studies,Asian Studies/Civilization,163
865,"Clinical, Counseling and Applied Psychology, Other",Social Work,3745
66,Rehabilitation Aide,Vocational Rehabilitation Counseling/Counselor,306
56,Geological/Geophysical Engineering,Geotechnical and Geoenvironmental Engineering,268
266268,Computer Science,"Mathematics, General",1288893
34,African Studies,American/United States Studies/Civilization,166
409,International Relations and Affairs,Public Administration,2046
268599,Computer Science,"Statistics, General",1358789
5,Radiation Biology/Radiobiology,Radiologic Physics Residency Program,26
42084,"Computer Engineering, General","Electrical/Electronic Engineering Technologies/Technicians, Other",223111
533,"Anthropology, General",International Relations and Affairs,2873
116821,"Computer Engineering, General","Engineering, General",631376
42594,"Business Administration and Management, General","Business/Commerce, General",233628
113124,"Electrical/Electronic Engineering Technologies/Technicians, Other","Engineering, General",622512
4395,Epidemiology,"Public Health, General",25157
146754,"Engineering, General","Mathematics, General",843973
86,"Criminal Justice and Corrections, General",Divinity/Ministry,496
8097,Biostatistics,Epidemiology,46713
887,Geographic Information Science and Cartography,Geography,5147
509,Marriage and Family Therapy/Counseling,Social Work,2990
79032,"Economics, General","Mathematics, General",468862
39,Dietetics/Dietitian,Nutrition Sciences,235
12,Bilingual and Multilingual Education,English as a Second Language,73
603,Astrophysics,Planetary Astronomy and Science,3697
987,"Anthropology, General","Sociology, General",6138
86,Criminal Justice/Police Science,Divinity/Ministry,539
86,Divinity/Ministry,Marriage and Family Therapy/Counseling,542
555,Astronomy,Astrophysics,3545
60701,"Applied Mathematics, General","Mathematics, General",403248
125,Child Development,Early Childhood Education and Teaching,863
113,Structural Engineering,Transportation and Highway Engineering,781
83,"Criminal Justice and Corrections, General",Theology/Theological Studies,587
56503,"Mathematics, General","Physics, General",409990
2101,"Political Science and Government, General","Sociology, General",15383
83,"Criminal Justice and Corrections, General",Religion/Religious Studies,625
83,Criminal Justice/Police Science,Theology/Theological Studies,630
419,General Literature,Journalism,3189
83,Marriage and Family Therapy/Counseling,Theology/Theological Studies,633
6,Surveying Engineering,Surveying Technology/Surveying,47
10479,Bioinformatics,Biostatistics,82970
762,Mass Communication/Media Studies,"Web Page, Digital/Multimedia and Information Resources Design",6096
83,Criminal Justice/Police Science,Religion/Religious Studies,668
83,Marriage and Family Therapy/Counseling,Religion/Religious Studies,671
71339,"Business Administration and Management, General","Statistics, General",585497
324,"Anthropology, General",Public Administration,2663
41,Dietetics/Dietitian,Restaurant/Food Services Management,340
63127,"Data Science, General","Statistics, General",524185
489,Pharmacology,Toxicology,4068
13,Respiratory Care Therapy/Therapist,Respiratory Therapy Technician/Assistant,111
38252,"Business Administration and Management, General","Economics, General",331435
14359,Electrical and Computer Engineering,"Electrical/Electronic Engineering Technologies/Technicians, Other",126868
239,"Civil Engineering, General",Structural Engineering,2154
21219,"Economics, General","Finance, General",192930
72,Exercise Science and Kinesiology,Forensic Science and Technology,671
49,French Studies,German Studies,458
65465,Computer Software Engineering,"Engineering, General",612660
102148,"Engineering, General","Statistics, General",960806
246,Cheminformatics/Chemistry Informatics,Medicinal and Pharmaceutical Chemistry,2337
5492,Accounting,"Finance, General",52275
297,Agronomy and Crop Science,Publishing,2862
3553,"Biology/Biological Sciences, General",Cell/Cellular and Molecular Biology,34426
613,Biochemistry,Biophysics,6024
3485,"Biology/Biological Sciences, General",Molecular Biology,34419
3203,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",Mechanical Engineering,31979
119439,"Computer Engineering, General",Computer Science,1193192
681,Biochemistry,Cell/Cellular and Molecular Biology,6897
5130,Operations Management and Supervision,Operations Research,52125
467,"Geology/Earth Science, General",Geophysics and Seismology,4764
445,"Geology/Earth Science, General",Hydrology and Water Resources Science,4563
661,Biochemistry,Molecular Biology,6842
158,Clinical Psychology,"Clinical, Counseling and Applied Psychology, Other",1637
297,Publishing,"Soil Science and Agronomy, General",3155
50112,"Business Administration and Management, General","Mathematics, General",534497
86,"Criminal Justice and Corrections, General",Marriage and Family Therapy/Counseling,920
43982,"Data Science, General","Mathematics, General",471103
45338,"Applied Mathematics, General","Statistics, General",490838
18404,Econometrics and Quantitative Economics,"Economics, General",200292
